id,neighbourhood_group,neighbourhood,room_type,price,Rating,accommodates,bathrooms,bedrooms,beds
6627449,Bronx,City Island,Entire home/apt,125,good,4.0,1.0,1.0,1.0
5557381,Bronx,City Island,Private room,69,good,4.0,2.0,2.0,3.0
9147025,Bronx,City Island,Entire home/apt,125,good,2.0,2.0,1.0,1.0
1936633,Bronx,City Island,Entire home/apt,115,good,1.0,1.0,1.0,1.0
19758402,Bronx,City Island,Entire home/apt,62,good,6.0,1.0,2.0,3.0
4407790,Bronx,Allerton,Private room,47,good,6.0,1.0,3.0,3.0
715270,Bronx,Allerton,Private room,39,good,1.0,2.0,1.0,1.0
18852048,Bronx,Allerton,Private room,49,good,4.0,1.0,1.0,1.0
759901,Bronx,Allerton,Private room,85,good,2.0,1.0,0.0,1.0
13864221,Bronx,Allerton,Private room,50,good,2.0,1.0,1.0,1.0
12496118,Bronx,Allerton,Entire home/apt,105,good,2.0,1.0,1.0,1.0
13109017,Bronx,Allerton,Private room,45,good,1.0,1.0,1.0,1.0
9513511,Bronx,Allerton,Private room,70,good,2.0,1.0,1.0,1.0
10801360,Bronx,Allerton,Entire home/apt,90,good,2.0,1.0,1.0,1.0
8294259,Bronx,Allerton,Private room,63,good,2.0,1.0,1.0,1.0
182177,Bronx,Allerton,Entire home/apt,125,good,6.0,1.0,3.0,4.0
17876530,Bronx,Allerton,Entire home/apt,110,good,1.0,1.0,1.0,1.0
5046189,Bronx,Allerton,Entire home/apt,200,good,3.0,1.0,1.0,2.0
755528,Bronx,Allerton,Entire home/apt,49,good,11.0,2.0,3.0,6.0
3429765,Bronx,Allerton,Private room,43,good,3.0,1.0,1.0,1.0
9331257,Bronx,Allerton,Shared room,35,good,3.0,1.0,1.0,1.0
5647069,Bronx,Allerton,Private room,85,good,2.0,1.0,1.0,1.0
4462008,Bronx,Allerton,Private room,44,good,2.0,1.0,1.0,1.0
20449125,Bronx,Allerton,Entire home/apt,109,good,1.0,1.0,1.0,1.0
